b,Mcarlo,Gauss,Jacobii,GaussSeidel,blad mcarlo,blad gaus,blad jacobi,blad gaussSiedel
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1
0,0.477316,0.477414437246839,0.477414426508902,0.477414437246839,0.477316,0.477414437246839,0.477414426508902,0.477414437246839
0,0.20493,0.205519405376619,0.205519396901881,0.205519405376619,0.20493,0.205519405376619,0.205519396901881,0.205519405376619
0,0.080329,0.0801392637181126,0.0801392578099622,0.0801392637181126,0.080329,0.0801392637181126,0.0801392578099622,0.0801392637181126
0,0.028102,0.0281218793591808,0.0281218760952112,0.0281218793591808,0.028102,0.0281218793591808,0.0281218760952112,0.0281218793591808
0,0.008891,0.00876112140289288,0.00876112027460435,0.00876112140289288,0.008891,0.00876112140289288,0.00876112027460435,0.00876112140289288
0,0.002335,0.00237324952134487,0.00237324909033679,0.00237324952134487,0.002335,0.00237324952134487,0.00237324909033679,0.00237324952134487
0,0.000554,0.000542186218469431,0.000542186083174574,0.000542186218469431,0.000554,0.000542186218469431,0.000542186083174574,0.000542186218469431
0,0.0001,0.0000998288120416859,0.0000998287866215457,0.0000998288120416859,0.0001,0.0000998288120416859,0.0000998287866215457,0.0000998288120416859
0,0.000009,0.0000137852457893971,0.0000137852410923721,0.0000137852457893971,0.000009,0.0000137852457893971,0.0000137852410923721,0.0000137852457893971
0,0.000003,0.00000125298883549675,0.00000125298826781401,0.00000125298883549675,0.000003,0.00000125298883549675,0.00000125298826781401,0.00000125298883549675
0,0,0.00000005447777545638,0.00000005447775077452,0.00000005447777545638,0,0.00000005447777545638,0.00000005447775077452,0.00000005447777545638
0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1
0,0.793053,0.792710781594043,0.792710773119305,0.792710781594043,0.793053,0.792710781594043,0.792710773119305,0.792710781594043
0,0.496897,0.497383569768956,0.497383554466094,0.497383569768956,0.496897,0.497383569768956,0.497383554466094,0.497383569768956
0,0.262373,0.262904504700946,0.262904488890869,0.262904504700946,0.262373,0.262904504700946,0.262904488890869,0.262904504700946
0,0.119648,0.119625850863923,0.119625841824899,0.119625850863923,0.119648,0.119625850863923,0.119625841824899,0.119625850863923
0,0.046963,0.0469584246698421,0.0469584192492309,0.0469584246698421,0.046963,0.0469584246698421,0.0469584192492309,0.0469584246698421
0,0.015751,0.0157328788599424,0.0157328762236469,0.0157328788599424,0.015751,0.0157328788599424,0.0157328762236469,0.0157328788599424
0,0.004502,0.00439774876932085,0.00439774798717733,0.00439774876932085,0.004502,0.00439774876932085,0.00439774798717733,0.00439774876932085
0,0.001002,0.000987834966143369,0.000987834724098026,0.000987834966143369,0.001002,0.000987834966143369,0.000987834724098026,0.000987834966143369
0,0.000165,0.000167931295742691,0.000167931239790512,0.000167931295742691,0.000165,0.000167931295742691,0.000167931239790512,0.000167931295742691
0,0.000016,0.0000195030436133841,0.0000195030370033314,0.0000195030436133841,0.000016,0.0000195030436133841,0.0000195030370033314,0.0000195030436133841
0,0.000001,0.00000125298883549675,0.00000125298826781401,0.00000125298883549675,0.000001,0.00000125298883549675,0.00000125298826781401,0.00000125298883549675
0,1,1,1,1,1,1,1,1
0,0.919464,0.919645465665991,0.919645459757841,0.919645465665991,0.919464,0.919645465665991,0.919645459757841,0.919645465665991
0,0.736662,0.736300219841882,0.736300204031806,0.736300219841882,0.736662,0.736300219841882,0.736300204031806,0.736300219841882
0,0.499452,0.499341897703103,0.499341880125604,0.499341897703103,0.499452,0.499341897703103,0.499341880125604,0.499341897703103
0,0.286321,0.287524467335404,0.287524449270483,0.287524467335404,0.286321,0.287524467335404,0.287524449270483,0.287524467335404
0,0.140729,0.140719410286809,0.140719396108208,0.140719410286809,0.140729,0.140719410286809,0.140719396108208,0.140719410286809
0,0.057834,0.0581043780802662,0.0581043714316585,0.0581043780802662,0.057834,0.0581043780802662,0.0581043714316585,0.0581043780802662
0,0.019881,0.0198753207644,0.0198753174774258,0.0198753207644,0.019881,0.0198753207644,0.0198753174774258,0.0198753207644
0,0.005336,0.00545584630820991,0.00545584503712396,0.00545584630820991,0.005336,0.00545584630820991,0.00545584503712396,0.00545584630820991
0,0.001153,0.0011423196069791,0.00114231932872136,0.0011423196069791,0.001153,0.0011423196069791,0.00114231932872136,0.0011423196069791
0,0.000171,0.000167931295742692,0.000167931239790512,0.000167931295742692,0.000171,0.000167931295742692,0.000167931239790512,0.000167931295742692
0,1,1,1,1,1,1,1,1
0,0.971922,0.971832266014693,0.971832262750723,0.971832266014693,0.971922,0.971832266014693,0.971832262750723,0.971832266014693
0,0.88008,0.880169794163029,0.880169785124005,0.880169794163029,0.88008,0.880169794163029,0.880169785124005,0.880169794163029
0,0.712306,0.711998611471149,0.711998593406228,0.711998611471149,0.712306,0.711998611471149,0.711998593406228,0.711998611471149
0,0.500257,0.499677851823169,0.499677827073261,0.499677851823169,0.500257,0.499677851823169,0.499677827073261,0.499677851823169
0,0.298902,0.299504690053934,0.29950467092709,0.299504690053934,0.298902,0.299504690053934,0.29950467092709,0.299504690053934
